"serial_num","id","latitude","longitude","Label"
"388","BFN",-29.0938,"26.3040","Bloemfontein"
"389","BFO",-21.0086,"31.5794","CHIREDZI/BUFFALO RANGE"
"390","BFP",40.7725,"-80.3915","BEAVER CO"
"391","BFQ",7.583,"-78.2000","Bahia Pina                              "
"392","BFS",54.6575,"-6.2158","Belfast International Apt               "
"393","BFV",15.2267,"103.2511","Buriram"
"394","BFX",5.5347,"10.3558","BAFOUSSAM"
"395","BGA",7.1269,"-73.1850","Bucaramanga"
"396","BGC",41.8567,"-6.7075","BRAGANCA"
"397","BGF",4.3977,"18.5198","Bangui                                  "
"398","BGG",38.86,"40.5939","Bingol                                  "
"399","BGI",13.0746,"-59.4921","Barbados                                "
"400","BGM",42.2087,"-75.9731","Binghamton"
"401","BGN",51.2,"6.1333","Belaya Gora"
"402","BGO",60.2936,"5.2181","Bergen                                  "
"403","BGR",44.8074,"-68.8281","Bangor"
"404","BGU",4.7833,"22.7833","BANGASSOU"
"405","BGW",33.35,"44.4170","Baghdad"
"406","BGX",-31.3908,"-54.1097","BAGE/GUSTAVO KRAEMER"
"407","BGY",45.6689,"9.7003","Milan Bergamo/Orio al Serio Apt"
"408","BHA",-0.605,"-80.4042","SAN VICENTE"
"409","BHB",44.4498,"-68.3616","Bar Harbor                              "
"410","BHD",54.6181,"-5.8725","Belfast George Best City Apt"
"411","BHE",-41.5183,"173.8703","Blenheim"
"412","BHG",15.735,"-84.5425","  Brus Laguna"
"413","BHH",19.9842,"42.6231","Bisha                                   "
"414","BHI",-38.7203,"-62.1575","Bahia Blanca"
"415","BHJ",23.2867,"69.6700","Bhuj"
"416","BHK",39.775,"64.4833","Bukhara"
"417","BHM",33.5629,"-86.7535","Birmingham                              "
"418","BHO",23.2869,"77.3369","Bhopal"
"419","BHQ",-32.0017,"141.4717","Broken Hill                             "
"420","BHR",27.6781,"84.4294","Bharatpur                               "
"421","BHS",-33.4111,"149.6528","Bathurst                                "
"422","BHU",21.7542,"72.1906","Bhavnagar"
"423","BHV",29.3444,"71.7125","Bahawalpur"
"424","BHX",52.4539,"-1.7480","Birmingham Airport"
"425","BHY",21.5394,"109.2939","Beihai"
"426","BIA",42.55,"9.4847","Bastia"
"427","BIC",57.66,"-157.5800","Big Creek"
"428","BID",41.1681,"-71.5778","  Block Island"
"429","BIE",40.3017,"-96.7533","BEATRICE"
"430","BIF",31.8495,"-106.3800","BIGGS AAF"
"431","BIG",63.9945,"-145.7216","DELTA JUNCTION/FT GREELY ALLEN"
"432","BIH",37.3731,"-118.3636","BISHOP E. SIERRA REGNL"
"433","BII",11.5225,"165.5650","  Bikini Atoll"
"434","BIK",-1.1919,"136.1100","Biak                                    "
"435","BIL",45.8077,"-108.5429","Billings                                "
"436","BIM",25.6999,"-79.2647","Bimini"
"437","BIO",43.3011,"-2.9106","Bilbao                                  "
"438","BIQ",43.4683,"-1.5311","Biarritz                                "
"439","BIR",26.484,"87.2643","Biratnagar                              "
"440","BIS",46.774,"-100.7467","Bismarck"
"441","BIV",6.5267,"21.9900","BRIA"
"442","BIX",30.4113,"-88.9236","KEESLER AFB/BILOXI"
"443","BIY",-32.895,"27.2850","BHISHO"
"444","BJA",36.7119,"5.0694","Bejaia                                  "
"445","BJB",37.4892,"57.3064","Bojnurd                                 "
"446","BJC",39.9083,"-105.1167","DENVER JEFFCO"
"447","BJF",70.6003,"29.6925","Batsfjord"
"448","BJI",47.5094,"-94.9337","Bemidji"
"449","BJL",13.3425,"-16.6578","Banjul                                  "
"450","BJM",-3.3178,"29.3172","Bujumbura                               "
"451","BJR",11.6063,"37.3197","Bahar Dar"
"452","BJT",6.4833,"79.9833","Bentota River"
"453","BJV",37.2472,"27.6814","Bodrum Milas Airport                    "
"454","BJX",20.9933,"-101.4810","Leon/Guanajuato                         "
"455","BJY",44.9236,"20.2790","BEOGRAD/BATAJNICA"
"456","BJZ",38.8912,"-6.8213","Badajoz"
"457","BKA",55.6172,"38.0600","Moscow Bykovo Apt"
"458","BKC",65.9816,"-161.1491","Buckland                                "
"459","BKE",44.8373,"-117.8091","BAKER CITY MUNI"
"460","BKF",39.7017,"-104.7517","AURORA/BUCKLEY AFB"
"461","BKG",36.5321,"-93.2005","Branson                                 "
"462","BKI",5.9447,"116.0531","Kota Kinabalu                           "
"463","BKK",13.6811,"100.7473","Bangkok Suvarnabhumi International Apt"
"464","BKL",41.525,"-81.6833","CLEVELAND BURKE"
"465","BKM",3.974,"115.6180","Bakelalan"
"466","BKO",12.5379,"-7.9433","Bamako                                  "
"467","BKQ",-24.4267,"145.4233","Blackall"
"468","BKS",-3.8611,"102.3394","Bengkulu                                "
"469","BKW",37.7867,"-81.1244","Beckley"
"470","BKY",-2.309,"28.8088","Bukavu"
"471","BKZ",-1.3,"31.8000","Bukoba"
"472","BLA",10.1167,"-64.6833","Barcelona"
"473","BLB",8.9148,"-79.5996","BALBOA/HOWARD AFB"
"474","BLD",35.9475,"-114.8611","Las Vegas Boulder City Airport"
"475","BLE",60.4222,"15.5150","Borlange/Falun"
"476","BLF",37.2958,"-81.2077","BLUEFIELD"
"477","BLH",33.6192,"-114.7168","BLYTHE"
"478","BLI",48.7927,"-122.5375","Bellingham"
"479","BLJ",35.7592,"6.3225","Batna"
"480","BLK",53.7716,"-3.0286","Blackpool                               "
"481","BLL",55.7403,"9.1518","Billund"
"482","BLQ",44.5306,"11.2969","Bologna Guglielmo Marconi               "
"483","BLR",12.9522,"77.6646","Bengaluru                               "
"484","BLT",-23.6,"148.8167","BLACKWATER"
"485","BLV",38.5452,"-89.8352","Belleville                              "
"486","BLZ",-15.6798,"34.9676","Blantyre                                "
"487","BMA",59.3544,"17.9422","Stockholm Bromma Apt"
"488","BMC",41.5524,"-112.0622","BRIGHAM CITY"
"489","BMD",-19.6867,"44.5419","  Belo sur Tsiribihina"
"490","BME",-17.95,"122.2317","Broome"
"491","BMI",40.4767,"-88.9167","Bloomington-Normal"
"492","BMK",53.5955,"6.7092","  Borkum"
